Coun- ty Code,County Name,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,Electricity supply,Water supply; waste collection,Construction,Wholesale and retail trade; repair of motor vehicles,Transport and storage,Accom- modation and food service activities,Informa- tion and communi- cation,Financial and insurance activities,Real estate activities,"Profes- sional, technical and support services",Public admin- istration and defence,Education,Human health and social work activities,Other service activities,FISIM1,Total,
01,MOMBASA,"1,459","1,158","47,348","20,546","1,078","37,168","36,912","88,308","12,780","5,413","31,155","35,526","7,124","12,024","4,229","4,539","2,379","(17,026)","332,122",
02,KWALE,"39,610","1,447",300,730,513,"3,184","5,051","4,198","6,699",879,"4,941","5,733",349,"4,566","5,384","1,575","1,647",(526),"86,278",
03,KILIFI,"38,319","3,334","8,456","1,471","1,353","2,233","6,037","11,411","1,110","2,423","8,659","14,511",286,"6,452","9,219","2,539","2,810","(1,329)","119,295",
04,TANA RIVER,"18,333",57,11,73,"2,199",24,"3,024",924,45,327,"2,188",752,1,"3,138","1,501",451,608,(158),"33,498",
05,LAMU,"18,699",126,48,340,90,172,"2,864","4,171",253,287,716,"1,195",10,"2,129",923,272,257,(167),"32,386",
06,TAITA TAVETA,"19,858",727,101,567,337,"2,188","5,607","3,109","1,079",559,"4,504","3,988",8,"5,145","2,463",813,721,(393),"51,381",
07,GARISSA,"16,845",559,"1,153",318,174,"1,481","2,496","1,410",116,324,260,"2,586",73,"6,780","3,388",908,881,(358),"39,394",
08,WAJIR,"20,032",450,15,22,170,"2,805","2,065",258,64,144,"1,527",767,3,"5,150","1,960",900,936,(108),"37,159",
09,MANDERA,"14,169",178,28,581,256,"2,512","1,966","1,155",100,292,"1,388","3,091",4,"4,723","2,643",645,"1,450",(78),"35,101",
10,MARSABIT,"16,078",72,13,259,233,"7,311","1,257",337,67,300,320,"2,045",26,"3,113","1,502",659,650,(169),"34,073",
11,ISIOLO,"3,325",40,12,162,131,"1,722","2,026","1,030",280,250,799,"1,278",4,"3,414","1,074",254,320,(270),"15,850",
12,MERU,"124,381","3,146","5,255","1,025","1,038","4,928","9,486","19,072",380,"1,557","25,769","9,595",430,"8,749","10,661","3,501","3,024","(2,351)","229,646",
13,THARAKA NITHI,"38,740",184,133,210,271,"3,266","6,538","2,381",337,611,"2,671","2,823",12,"3,232","3,787","1,933",814,(252),"67,692",
14,EMBU,"39,794",227,"2,417","6,503",740,"8,010","7,535","10,599",452,898,"7,132","5,122",40,"7,268","4,160","2,445","1,151",(758),"103,734",
15,KITUI,"41,799",650,105,960,838,"2,525","5,189","7,147",161,"1,179","11,433","6,315",12,"7,563","10,764","3,492","2,257",(830),"101,560",
16,MACHAKOS,"56,112","9,643","38,512","9,019","1,080","17,311","17,569","12,736",684,"3,119","19,459","25,648",127,"7,295","9,768","4,440","2,449","(2,112)","232,860",
17,MAKUENI,"47,606",638,412,373,768,"5,739","5,875","5,276",285,881,"7,050","5,463",2,"6,927","9,477","2,885","1,972",(703),"100,924",
18,NYANDARUA,"209,519",709,"1,106",400,434,763,"4,263","4,269",128,483,"5,175","5,472",5,"4,789","5,236","1,545","1,398",(492),"245,203",
19,NYERI,"92,859","2,242","3,754","1,703","1,254","2,336","7,216","12,263","1,609","2,104","18,646","12,196",303,"7,233","5,927","3,303","1,626","(1,612)","174,961",
20,KIRINYAGA,"41,208","1,425","6,685",826,"6,959",783,"4,802","9,763",146,"1,102","9,411","5,243",45,"5,765","4,210","2,162","1,238",(937),"100,836",
21,MURANGA,"89,003","2,228","7,451","1,675","1,489","8,055","4,382","7,005",164,"1,339","20,653","10,463",54,"7,046","8,171","2,586","2,210",(956),"173,018",
22,KIAMBU,"132,421","4,112","49,969","9,533","2,435","55,172","16,610","29,094",745,"5,310","42,373","42,758",945,"14,548","11,768","8,039","3,805","(7,717)","421,918",
23,TURKANA,"41,493",88,65,"2,066",487,"4,684","2,581","7,750",361,366,"2,198","2,537",16,"3,529","6,252","1,946","2,172",(290),"78,301",
24,WEST POKOT,"19,311","2,835",27,69,427,522,"2,270","3,904",168,302,"3,330","1,861",373,"4,416","4,799","1,045","1,302",(176),"46,785",
25,SAMBURU,"10,847",47,29,123,180,661,"4,354","1,234",132,143,"1,386","1,236",11,"3,403","1,703",587,569,(142),"26,503",
26,TRANS NZOIA,"50,628",273,785,810,707,"3,031","9,551","7,958",625,"1,967","15,734","8,934",68,"5,177","7,237","2,248","2,079","(1,129)","116,683",
27,UASIN-GISHU,"63,017",713,"7,915","1,042","1,314","7,121","19,511","17,552","1,645","1,075","17,218","12,880","1,482","6,267","6,262","3,833","2,270","(8,843)","162,273",
28,ELGEYO MARAKWET,"127,967",485,42,209,258,"1,485","3,487","3,579",103,544,"4,423","5,877",3,"4,949","4,068","1,245",940,(131),"159,531",
29,NANDI,"71,213",593,"4,116",489,719,"1,301","4,264","3,300",203,801,"11,955","5,013",5,"4,990","7,603","1,924","1,912",(709),"119,691",
30,BARINGO,"53,633",125,232,413,"1,048","1,336","4,687","4,737",266,911,"9,095","3,088",2,"6,017","5,077","1,276","1,411",(488),"92,866",
31,LAIKIPIA,"35,489",117,706,723,755,"5,606","7,132","5,904",512,916,"6,275","4,913",605,"6,006","3,489","1,697","1,014",(763),"81,095",
32,NAKURU,"301,349",595,"14,813","36,932","2,580","16,675","17,430","30,640","2,256","3,489","30,349","26,223",553,"14,077","14,040","7,276","4,071","(5,885)","517,462",
33,NAROK,"120,355",213,"2,109",653,642,"1,354","3,702","4,601","3,343","2,082","15,247","7,615",8,"7,882","6,971","1,164","2,160",(876),"179,226",
34,KAJIADO,"15,954","2,801","5,096","2,789",706,"9,614","6,579","7,899","1,395","2,353","17,329","23,657",171,"4,902","4,642","2,605","1,745","(2,430)","107,805",
35,KERICHO,"62,765",146,"13,721",853,682,"3,394","7,529","5,787",438,"1,067","15,580","8,118",53,"5,973","7,543","2,631","1,925","(1,406)","136,799",
36,BOMET,"114,076",620,"4,694",205,567,"7,034","4,448","2,512",187,422,"7,380","2,411",21,"3,804","7,593","2,333","1,839",(577),"159,569",
37,KAKAMEGA,"95,193","1,442","8,009",975,"1,651","2,896","8,022","7,504",877,"2,425","9,955","10,972",147,"7,993","16,676","5,420","3,829","(1,421)","182,563",
38,VIHIGA,"20,160","1,667",350,547,448,"4,167","3,598","2,292",322,342,"6,284","6,338",3,"4,608","5,909","1,206","1,279",(471),"59,050",
39,BUNGOMA,"107,829",304,"1,720",433,"1,203","4,123","6,650","10,388",394,"1,576","9,933","9,217",14,"8,742","15,730","3,067","3,761","(1,574)","183,509",
40,BUSIA,"50,020",295,158,246,679,"5,320","5,294","3,253",211,432,854,"3,756",5,"6,417","7,360","1,824","1,126",(539),"86,712",
41,SIAYA,"50,685","1,136",146,390,912,"4,541","1,994","3,858",408,991,"6,197","6,413",6,"5,299","8,353","2,341","2,000",(406),"95,265",
42,KISUMU,"51,445","1,636","23,085","4,106","2,408","12,170","26,230","19,636","1,586","1,793","8,742","20,493","1,387","10,736","8,580","3,230","2,301","(5,074)","194,489",
43,HOMA BAY,"68,247",426,532,486,764,"1,818","3,934","5,708",161,719,"4,779","4,584",4,"6,844","10,744","2,783","2,289",(624),"114,198",
44,MIGORI,"40,861","6,023","2,703",352,757,"1,028","3,652","6,648",246,822,"6,861","6,962",9,"5,693","9,813","2,446","2,178",(716),"96,337",
45,KISII,"85,550",411,"2,927","1,149",921,"4,639","7,132","9,578",349,566,"14,504","8,690",101,"10,471","12,201","3,507","2,736","(1,886)","163,546",
46,NYAMIRA,"56,634","1,376","5,352",489,523,"2,795","2,658","3,268",212,496,"11,566","4,719",7,"5,236","5,590","1,369","1,421",(473),"103,239",
47,NAIROBI,"4,102",755,"374,527","26,878","10,819","175,437","294,302","184,845","14,041","53,074","142,765","176,281","122,335","40,051","13,762","17,841","8,791","(168,283)","1,492,323",
Total GVA,,"2,838,993","58,474","647,143","140,721","55,993","452,439","619,762","600,248","58,126","109,457","606,167","575,360","137,254","330,529","320,211","126,731","91,720","(244,617)","7,524,710",
